"표준 성분명
standard_name","제품 카테고리
category","최종 등급
risk_level","왜 이 등급인지
basis","사용자 주의사항 - 초본
warning","사용자 주의사항
warning","사용자용 쉬운 설명
description"
"지방산(C10-20 및 C16-18 불포화), 트리에탄올아민 반응물, 다이메틸설페이트 사급화물",양이온계 계면활성제/유연제,Medium,EWG - B,"Low concern for skin allergies & irritation
Low concern for developmental/endocrine/reproductive effects",눈에 들어가지 않게 하고 사용 후 손을 씻으세요. 피부가 민감하면 장갑을 착용하세요.,"지방산(C10-20 및 C16-18 불포화), 트리에탄올아민 반응물, 다이메틸설페이트 사급화물은(는) 섬유를 부드럽게 하거나 정전기를 줄이는 양이온계 계면활성제 성분입니다. 세정에는 도움이 되지만 눈이나 민감한 피부에 닿으면 자극을 줄 수 있어 사용 시 주의가 필요합니다."
차아염소산나트륨,산화제/살균,High,EWG - F,"Very toxic to aquatic life (high)
Causes severe skin burns and eye damage (high)
Asthmagen (moderate)
Toxic if inhaled (some)
Known to cause cancer (some)","산성 세정제, 식초, 암모니아 제품과 절대 섞지 마세요. 환기하고 장갑을 착용하며 흡입을 피하세요.","차아염소산나트륨은(는) 제품이 쉽게 변질되지 않도록 돕거나 미생물 증식을 억제하는 보존·살균 관련 성분입니다. 살균·표백력이 강해 피부·눈·호흡기에 자극을 줄 수 있고, 산성 제품과 섞이면 위험할 수 있습니다."
카밤산,기타,Medium,,,눈·피부 접촉을 줄이고 사용 후 손을 씻으세요. 냄새가 강하면 환기하면서 사용하세요.,카밤산은(는) 제품의 기능을 보조하기 위해 사용되는 성분입니다. 일부 자극 또는 알레르기 가능성이 있어 사용 환경에 따라 주의가 필요합니다.
카보머,점증제,Medium,EWG - D,"Toxic to aquatic life (some)
Causes severe skin burns and eye damage (some)
Harmful if swallowed (some)
Carcinogenic (some)",눈·피부 접촉을 줄이고 사용 후 손을 씻으세요. 냄새가 강하면 환기하면서 사용하세요.,"카보머은(는) 제품의 형태, 질감, 거품 또는 사용감을 조절하는 보조 원료입니다. 일부 자극 또는 알레르기 가능성이 있어 사용 환경에 따라 주의가 필요합니다."
카프릴릭/카프릭 트라이글리세라이드,에몰리언트,Low,EWG - C,,"일반적인 사용 조건에서는 특별한 주의가 적지만, 눈에 들어가거나 먹지 않도록 하세요.",카프릴릭/카프릭트라이글리세라이드은(는) 수분감이나 사용감을 보조하는 보습·컨디셔닝 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편입니다.
카프릴릴글라이콜,보존보조/보습,Low,"EWG - C
EPA - green circle","Harmful if swallowed (some)
Causes eye irritation (some)","일반적인 사용 조건에서는 특별한 주의가 적지만, 눈에 들어가거나 먹지 않도록 하세요.",카프릴릴글라이콜은(는) 제품이 쉽게 변질되지 않도록 돕거나 미생물 증식을 억제하는 보존·살균 관련 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편입니다.
카프릴하이드록사믹애씨드,보존보조,Medium,EWG - C,"May cause respiratory irritation (some)
Causes skin and eye irritation (some)",피부가 민감하면 직접 접촉을 줄이고 눈에 들어가지 않게 하세요. 이상 반응이 있으면 사용을 중단하세요.,카프릴하이드록사믹애씨드은(는) 제품이 쉽게 변질되지 않도록 돕거나 미생물 증식을 억제하는 보존·살균 관련 성분입니다. 제품 보존에는 도움이 되지만 일부 사용자에게 피부 자극이나 알레르기 반응을 일으킬 수 있습니다.
캄펜,향료 구성성분,Medium,EWG - C,Causes serious eye irritation (some),향에 민감하거나 알레르기가 있으면 사용량을 줄이고 환기하세요. 피부에 직접 닿지 않게 하세요.,"캄펜은(는) 제품에 향을 더하거나 냄새를 조절하기 위해 쓰이는 향료 성분입니다. 향에 민감한 사람에게 두통, 눈 자극, 피부 알레르기 같은 불편을 줄 수 있어 사용 시 주의가 필요합니다."
코카미도프로필베타인,양쪽성 계면활성제,Medium,EWG - C,"High chronic toxicity to aquatic life (some)
Causes severe skin burn and eye damage (some)
Harmful if swallowed (some)
Probably carcinogenic to humans (some)",눈에 들어가지 않게 하고 사용 후 손을 씻으세요. 피부가 민감하면 장갑을 착용하세요.,코카미도프로필베타인은(는) 기름때와 오염이 물에 잘 씻기도록 돕는 계면활성제 성분입니다. 세정에는 도움이 되지만 눈이나 민감한 피부에 닿으면 자극을 줄 수 있어 사용 시 주의가 필요합니다.
코코넛야자오일,식물오일,Low,"EWG - B
EPA - green circle","Not mutagenic
genotoxic (some)
Low concern for developmental/endocrine/reproductive effects","일반적인 사용 조건에서는 주의가 적지만, 알레르기가 있으면 피부 반응을 확인하세요.","코코넛야자오일은(는) 식물에서 유래한 추출물 또는 오일 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이지만, 알레르기가 있는 사용자는 반응을 확인하는 것이 좋습니다."
코튼씨오일,식물오일,Low,"EWG - B
EPA - green circle","Not mutagenic
may have anticarcinogenic activity","일반적인 사용 조건에서는 주의가 적지만, 알레르기가 있으면 피부 반응을 확인하세요.","코튼씨오일은(는) 식물에서 유래한 추출물 또는 오일 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이지만, 알레르기가 있는 사용자는 반응을 확인하는 것이 좋습니다."
쿠마린,향료 알레르기성분,Medium,EWG - C,"skin allergen (some)
Evidence of developmental/endocrine/reproductive effects",향에 민감하거나 알레르기가 있으면 사용량을 줄이고 환기하세요. 피부에 직접 닿지 않게 하세요.,"쿠마린은(는) 제품에 향을 더하거나 냄새를 조절하기 위해 쓰이는 향료 성분입니다. 향에 민감한 사람에게 두통, 눈 자극, 피부 알레르기 같은 불편을 줄 수 있어 사용 시 주의가 필요합니다."
크리산텔룸인디쿰추출물,식물추출물,Low,EWG - C,,"일반적인 사용 조건에서는 주의가 적지만, 알레르기가 있으면 피부 반응을 확인하세요.","크리산텔룸인디쿰추출물은(는) 식물에서 유래한 추출물 또는 오일 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이지만, 알레르기가 있는 사용자는 반응을 확인하는 것이 좋습니다."
탄산나트륨,알칼리/세정보조,Low,"EWG - A
EPA - green circle","Safer ingredient
Low concern for skin allergies & irritation; asthma/respiratory
May irritate the respiratory tract (low)","일반적인 사용 조건에서는 특별한 주의가 적지만, 눈에 들어가거나 먹지 않도록 하세요.",탄산나트륨은(는) 제품의 산도나 세정력을 조절하는 산·알칼리성 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이며 기본적인 눈·섭취 주의만 필요합니다.
탄산수소나트륨,알칼리/세정보조,Low,"EWG - A
EPA - green circle","Safer ingredient
Low concern for skin allergies & irritation; asthma/respiratory
Does not cause cancer, mutations or DNA damage","일반적인 사용 조건에서는 특별한 주의가 적지만, 눈에 들어가거나 먹지 않도록 하세요.",탄산수소나트륨은(는) 제품의 산도나 세정력을 조절하는 산·알칼리성 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이며 기본적인 눈·섭취 주의만 필요합니다.
터피네올아세테이트,향료 구성성분,Medium,EWG - C,Causes contact allergy in humans (low),향에 민감하거나 알레르기가 있으면 사용량을 줄이고 환기하세요. 피부에 직접 닿지 않게 하세요.,"터피네올아세테이트은(는) 제품에 향을 더하거나 냄새를 조절하기 위해 쓰이는 향료 성분입니다. 향에 민감한 사람에게 두통, 눈 자극, 피부 알레르기 같은 불편을 줄 수 있어 사용 시 주의가 필요합니다."
테트라소듐글루타메이트다이아세테이트,킬레이트제,Medium,EWG - C,"Causes severe skin burns and eye damage (some)
Evidence of developmental & reproductive toxicity",눈·피부 접촉을 줄이고 사용 후 손을 씻으세요. 냄새가 강하면 환기하면서 사용하세요.,테트라소듐글루타메이트다이아세테이트은(는) 금속 이온을 잡아 세정력과 제품 안정성을 돕는 킬레이트 성분입니다. 일부 자극 또는 알레르기 가능성이 있어 사용 환경에 따라 주의가 필요합니다.
테트라소듐이디티에이,킬레이트제,Medium,EWG - C,"Harmful if swallowed (some)
Causes serious eye damage (some)",눈·피부 접촉을 줄이고 사용 후 손을 씻으세요. 냄새가 강하면 환기하면서 사용하세요.,테트라소듐이디티에이은(는) 금속 이온을 잡아 세정력과 제품 안정성을 돕는 킬레이트 성분입니다. 일부 자극 또는 알레르기 가능성이 있어 사용 환경에 따라 주의가 필요합니다.
티트리꽃/잎/줄기추출물,식물추출물,Medium,EWG - C,"Harmful if swallowed & inhaled (some)
May cause an allergic skin reaction and skin irritation (some)",천연 성분이라도 알레르기가 있을 수 있으므로 민감한 피부에는 먼저 소량으로 확인하세요.,티트리꽃/잎/줄기추출물은(는) 식물에서 유래한 추출물 또는 오일 성분입니다. 천연 유래라도 개인에 따라 피부 알레르기나 자극이 생길 수 있어 주의가 필요합니다.
판테놀,보습/컨디셔닝,Low,"EPA - green half circle
EWG - C",,"일반적인 사용 조건에서는 특별한 주의가 적지만, 눈에 들어가거나 먹지 않도록 하세요.",판테놀은(는) 수분감이나 사용감을 보조하는 보습·컨디셔닝 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이며 기본적인 눈·섭취 주의만 필요합니다.
팔미틱애씨드,지방산,Low,"EPA - green circle
EWG - B","Low skin allergies and irritation
Low concern for developmental/endocrine/reproductive effects","일반적인 사용 조건에서는 특별한 주의가 적지만, 눈에 들어가거나 먹지 않도록 하세요.",팔미틱애씨드은(는) 제품의 기능을 보조하기 위해 사용되는 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이며 기본적인 눈·섭취 주의만 필요합니다.
팜핵오일지방산나트륨,음이온계 계면활성제,Low,"EWG - A
EPA - green circle","Low skin allergies and irritation
Low concern for developmental/endocrine/reproductive effects","일반적인 사용 조건에서는 특별한 주의가 적지만, 눈에 들어가거나 먹지 않도록 하세요.",팜핵오일지방산나트륨은(는) 기름때와 오염이 물에 잘 씻기도록 돕는 계면활성제 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이며 기본적인 눈·섭취 주의만 필요합니다.
페녹시에탄올,보존제/용제,Medium,EWG - B,"Reproductive toxicity (some)
Low concern for acute aquatic toxicity; biodegradation",피부가 민감하면 직접 접촉을 줄이고 눈에 들어가지 않게 하세요. 이상 반응이 있으면 사용을 중단하세요.,페녹시에탄올은(는) 제품이 쉽게 변질되지 않도록 돕거나 미생물 증식을 억제하는 보존·살균 관련 성분입니다. 제품 보존에는 도움이 되지만 일부 사용자에게 피부 자극이나 알레르기 반응을 일으킬 수 있습니다.
편백수,식물수/탈취,Low,EWG - C,,"일반적인 사용 조건에서는 주의가 적지만, 알레르기가 있으면 피부 반응을 확인하세요.","편백수은(는) 식물에서 유래한 추출물 또는 오일 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이지만, 알레르기가 있는 사용자는 반응을 확인하는 것이 좋습니다."
편백오일,식물오일/향료,Medium,EWG - C,,향에 민감하거나 알레르기가 있으면 사용량을 줄이고 환기하세요. 피부에 직접 닿지 않게 하세요.,"편백오일은(는) 제품에 향을 더하거나 냄새를 조절하기 위해 쓰이는 향료 성분입니다. 향에 민감한 사람에게 두통, 눈 자극, 피부 알레르기 같은 불편을 줄 수 있어 사용 시 주의가 필요합니다."
폴리다이메틸실록산,소포제/실리콘,Medium,"EWG - D
EPA - Yellow triangle","Very persistent and very bioaccumulative (high)
persistent in the environment; may cause long lasting harmful effects to aquatic life (moderate)
May cause respiratory irritation and skin irritation (some)",눈·피부 접촉을 줄이고 사용 후 손을 씻으세요. 냄새가 강하면 환기하면서 사용하세요.,"폴리다이메틸실록산은(는) 제품의 형태, 질감, 거품 또는 사용감을 조절하는 보조 원료입니다. 일부 자극 또는 알레르기 가능성이 있어 사용 환경에 따라 주의가 필요합니다."
폴리소르베이트20,비이온계 계면활성제,Medium,EWG - C,"Causes skin and eye irritation (some)
May cause respiratory irritation (some)
May cause an allergic skin reaction (some)",눈에 들어가지 않게 하고 사용 후 손을 씻으세요. 피부가 민감하면 장갑을 착용하세요.,폴리소르베이트20은(는) 기름때와 오염이 물에 잘 씻기도록 돕는 계면활성제 성분입니다. 세정에는 도움이 되지만 눈이나 민감한 피부에 닿으면 자극을 줄 수 있어 사용 시 주의가 필요합니다.
폴리소르베이트80,비이온계 계면활성제,Medium,"EPA - green circle
EWG - C","Causes skin and eye irritation (some)
May cause respiratory irritation (some)
Known to cause reproductive toxicity (some)
Toxic if inhaled (some)",눈에 들어가지 않게 하고 사용 후 손을 씻으세요. 피부가 민감하면 장갑을 착용하세요.,폴리소르베이트80은(는) 기름때와 오염이 물에 잘 씻기도록 돕는 계면활성제 성분입니다. 세정에는 도움이 되지만 눈이나 민감한 피부에 닿으면 자극을 줄 수 있어 사용 시 주의가 필요합니다.
폴리에틸렌글라이콜,용제/점도조절,Medium,EWG - D,"Evidence of digestive system effects; nervous system effects
Carcinogenic to humans (some)
Toxic if inhaled (some)
Causes skin corrosion (some)
May cause respiratory irritation and eye irritation (some)
",밀폐된 공간에서 오래 흡입하지 말고 환기하세요. 화기 주변 사용을 피하고 눈·피부 접촉을 줄이세요.,폴리에틸렌글라이콜은(는) 다른 성분을 녹이거나 제품 성능을 보조하는 용제·성능보조 성분입니다. 성분을 녹이고 퍼지게 하지만 냄새가 강하거나 밀폐공간에서 오래 노출되면 불편감을 줄 수 있습니다.
폴리에틸렌옥틸페닐에테르,비이온계 계면활성제,Medium,EWG - D,"Evidence of digestive system effects; nervous system effects
May cause cancer (some)
Carcinogenic to humans (some)
Causes skin irritation and eye irritation (some)
Causes respiratory irritation (some)",눈에 들어가지 않게 하고 사용 후 손을 씻으세요. 피부가 민감하면 장갑을 착용하세요.,폴리에틸렌옥틸페닐에테르은(는) 기름때와 오염이 물에 잘 씻기도록 돕는 계면활성제 성분입니다. 세정에는 도움이 되지만 눈이나 민감한 피부에 닿으면 자극을 줄 수 있어 사용 시 주의가 필요합니다.
폴리에틸렌테레프탈레이트,고분자/기재,Low,EWG - C,,"일반적인 사용 조건에서는 특별한 주의가 적지만, 눈에 들어가거나 먹지 않도록 하세요.","폴리에틸렌테레프탈레이트은(는) 제품의 형태, 질감, 거품 또는 사용감을 조절하는 보조 원료입니다. 일반적인 사용 조건에서는 위험도가 낮은 편입니다."
폴리옥시알킬렌알킬에테르,비이온계 계면활성제,Medium,EWG - C,"Known to cause reproductive toxicity (some)
Causes skin irritation and eye irritation (some)
May cause respiratory irritation (some)",눈에 들어가지 않게 하고 사용 후 손을 씻으세요. 피부가 민감하면 장갑을 착용하세요.,폴리옥시알킬렌알킬에테르은(는) 기름때와 오염이 물에 잘 씻기도록 돕는 계면활성제 성분입니다. 세정에는 도움이 되지만 눈이나 민감한 피부에 닿으면 자극을 줄 수 있어 사용 시 주의가 필요합니다.
폴리옥시에틸렌알킬에테르,비이온계 계면활성제,Medium,EWG - D,Evidence of chronic aquatic toxicity; acute aquatic toxicity; skin irritation/allergies/damage,눈에 들어가지 않게 하고 사용 후 손을 씻으세요. 피부가 민감하면 장갑을 착용하세요.,폴리옥시에틸렌알킬에테르은(는) 기름때와 오염이 물에 잘 씻기도록 돕는 계면활성제 성분입니다. 세정에는 도움이 되지만 눈이나 민감한 피부에 닿으면 자극을 줄 수 있어 사용 시 주의가 필요합니다.
폴스애플민트잎추출물,식물추출물,Low,EWG - C,,"일반적인 사용 조건에서는 주의가 적지만, 알레르기가 있으면 피부 반응을 확인하세요.","폴스애플민트잎추출물은(는) 식물에서 유래한 추출물 또는 오일 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이지만, 알레르기가 있는 사용자는 반응을 확인하는 것이 좋습니다."
프로폴리스추출물,천연추출물,Medium,EWG - C,"Evidence of skin irritation/allergies/damage
May cause an allergic skin reaction (some)",천연 성분이라도 알레르기가 있을 수 있으므로 민감한 피부에는 먼저 소량으로 확인하세요.,프로폴리스추출물은(는) 식물에서 유래한 추출물 또는 오일 성분입니다. 천연 유래라도 개인에 따라 피부 알레르기나 자극이 생길 수 있어 주의가 필요합니다.
프탈트린,살충제,High,EWG - C,,분사액을 직접 흡입하지 말고 사용 후 충분히 환기하세요. 음식물·반려동물·어린이 주변 사용을 피하세요.,"프탈트린은(는) 벌레를 죽이거나 접근을 줄이기 위해 쓰이는 살충·기피 성분입니다. 벌레에 작용하는 성분이라 흡입하거나 먹지 않도록 해야 하며, 주변 환경과 반려동물에도 주의가 필요합니다."
피레트린엑스,살충제,High,EWG - C,,분사액을 직접 흡입하지 말고 사용 후 충분히 환기하세요. 음식물·반려동물·어린이 주변 사용을 피하세요.,"피레트린엑스은(는) 벌레를 죽이거나 접근을 줄이기 위해 쓰이는 살충·기피 성분입니다. 벌레에 작용하는 성분이라 흡입하거나 먹지 않도록 해야 하며, 주변 환경과 반려동물에도 주의가 필요합니다."
피이지-40하이드로제네이티드캐스터오일,가용화제/비이온계 계면활성제,Low,EWG - B,Low concern for developmental/endocrine/reproductive effects; general systemic/organ effects; skin irritation/allergies/damage,"일반적인 사용 조건에서는 특별한 주의가 적지만, 눈에 들어가거나 먹지 않도록 하세요.",피이지-40하이드로제네이티드캐스터오일은(는) 기름때와 오염이 물에 잘 씻기도록 돕는 계면활성제 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이며 기본적인 눈·섭취 주의만 필요합니다.
하이드록시시트로넬알,향료 알레르기 성분,Medium,EWG - C,"Evidence of skin irritation/allergies/damage; developmental/endocrine/reproductive effects; damage to vision
may cause an allergic skin reaction (some)
causes serious eye irritation (some)",향에 민감하거나 알레르기가 있으면 사용량을 줄이고 환기하세요. 피부에 직접 닿지 않게 하세요.,"하이드록시시트로넬알은(는) 제품에 향을 더하거나 냄새를 조절하기 위해 쓰이는 향료 성분입니다. 향에 민감한 사람에게 두통, 눈 자극, 피부 알레르기 같은 불편을 줄 수 있어 사용 시 주의가 필요합니다."
하이알루로닉애씨드,보습,Low,EWG - C,,"일반적인 사용 조건에서는 특별한 주의가 적지만, 눈에 들어가거나 먹지 않도록 하세요.",하이알루로닉애씨드은(는) 수분감이나 사용감을 보조하는 보습·컨디셔닝 성분입니다. 일반적인 사용 조건에서는 위험도가 낮은 편이며 기본적인 눈·섭취 주의만 필요합니다.
향료,향료,Medium,EWG - D,Evidence of skin irritation/allergies/damage; acute aquatic toxicity; respiratory effects,향에 민감하거나 알레르기가 있으면 사용량을 줄이고 환기하세요. 피부에 직접 닿지 않게 하세요.,"향료은(는) 제품에 향을 더하거나 냄새를 조절하기 위해 쓰이는 향료 성분입니다. 향에 민감한 사람에게 두통, 눈 자극, 피부 알레르기 같은 불편을 줄 수 있어 사용 시 주의가 필요합니다."
헥실신남알,향료 알레르기성분,Medium,EWG - C,"Evidence of skin irritation/allergies/damage; general systemic/organ effects; developmental/endocrine/reproductive effects
may cause damage to organs (some)
May cause an allergic skin reaction (some)",향에 민감하거나 알레르기가 있으면 사용량을 줄이고 환기하세요. 피부에 직접 닿지 않게 하세요.,"헥실신남알은(는) 제품에 향을 더하거나 냄새를 조절하기 위해 쓰이는 향료 성분입니다. 향에 민감한 사람에게 두통, 눈 자극, 피부 알레르기 같은 불편을 줄 수 있어 사용 시 주의가 필요합니다."
황산,pH조절제,High,"EWG - F
EPA - yellow triangle","Evidence of cancer; skin irritation/allergies/damage; respiratory effects
- Causes severe skin burns and eye damage (high)
- Known To Be Human Carcinogen (high)
- Causes pulmonary edema (moderate)
- Asthmagen (irritation) (high)","반드시 환기하며 사용하고 장갑을 착용하세요. 눈·피부에 닿지 않게 하고, 다른 세정제와 섞지 마세요.",황산은(는) 제품의 산도나 세정력을 조절하는 산·알칼리성 성분입니다. 강한 산성·알칼리성 때문에 피부나 눈에 심한 자극을 줄 수 있어 반드시 주의가 필요합니다.
황산아연,무기염,High,EWG - F,"Evidence of skin irritation/allergies/damage; chronic aquatic toxicity; acute aquatic toxicity
- Causes severe skin burns and eye damage (high)
- Harmful if swallowed",사용 시 환기하고 장갑을 착용하세요. 눈·피부 접촉과 흡입을 피하고 다른 제품과 섞지 마세요.,"황산아연은(는) 제품의 점도, 탈취, 세정보조 등에 쓰이는 무기염 성분입니다. 피부·눈 자극, 흡입 유해성 또는 환경독성 우려가 있어 주의해서 사용해야 합니다."
